token	pair	borrow	math_final	evm_delta	pct	gas_hops
CAKE	0x0ed7e52944161450477ee417de9cd3a859b14fd0	100000000000000000	99424533522006378	99379069714176977	0.0457	339808
CAKE	0x0ed7e52944161450477ee417de9cd3a859b14fd0	500000000000000000	496793322196505090	496566408898500064	0.0457	339808
CAKE	0xa39af17ce4a8eb807e076805da1e2b8ea7d0755b	100000000000000000	99063069175759745	99108401161044875	0.0458	339798
CAKE	0xa39af17ce4a8eb807e076805da1e2b8ea7d0755b	500000000000000000	495314885631465949	495541545340530115	0.0458	339822
BUSD	0x58f876857a02d6762e0101bb5c46a8c1ed44dc16	100000000000000000	99439537237390384	99417132977328045	0.0225	339836
BUSD	0x58f876857a02d6762e0101bb5c46a8c1ed44dc16	500000000000000000	497066689840200625	496954762509961573	0.0225	339836
BUSD	0x7efaef62fddcca950418312c6c91aef321375a00	100000000000000000	99058027824479940	99080354371164395	0.0225	339838
BUSD	0x7efaef62fddcca950418312c6c91aef321375a00	500000000000000000	495289956389793900	495401589069756753	0.0225	339850
ETH	0x74e4716e431f45807dcf19f284c7aa99f18a4fbc	100000000000000000	99609946402246002	99359230370602875	0.2517	339812
ETH	0x74e4716e431f45807dcf19f284c7aa99f18a4fbc	500000000000000000	497609650229745948	496357677371482000	0.2516	339824
BTCB	0x61eb789d75a95caa3ff50ed7e47b96c132fec082	100000000000000000	99146627594363871	99366714394648039	0.2220	339862
BTCB	0x61eb789d75a95caa3ff50ed7e47b96c132fec082	500000000000000000	495245690280014940	496344661788954035	0.2219	339862
USDC	0xd99c7f6c65857ac913a8f880a4cb84032ab2fc5b	100000000000000000	99339079366689582	99073972389324584	0.2669	347747
USDC	0xd99c7f6c65857ac913a8f880a4cb84032ab2fc5b	500000000000000000	495883455955247442	494561628742986001	0.2666	347747
# n=14 n_le_2pct=14 gas_p50=339836
