# discover_multivenue — CHUA VET. Chu chay vet_bsc_token roi dien vetted YYYY-MM-DD.
0x2a846aaaf896ef393ccb76398c1d96ea97374444 # BORT | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=166.0357 v2=WBNB v3=USDT@10000 uni=USDT@500+USDT@10000
0x6bdcce4a559076e37755a78ce0c06214e59e4444 # B | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=77.3356 v2=WBNB v3= uni=WBNB@10000+USDT@3000+USDT@10000
0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d # USDC | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=65.7732 v2=WBNB+USDT v3=WBNB@100+WBNB@500+USDT@100+USDT@500 uni=WBNB@100+WBNB@500+WBNB@3000+WBNB@10000+USDT@100+USDT@500+USDT@3000+USDT@10000
0x7083609fce4d1d8dc0c979aab8c869ea2c873402 # DOT | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=34.8813 v2=WBNB v3=WBNB@2500 uni=WBNB@500+WBNB@3000+WBNB@10000+USDT@3000+USDT@10000
0x1a1e69f1e6182e2f8b9e8987e83c016ac9444444 # 人生K线 | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=20.9778 v2=WBNB v3= uni=USDT@3000+USDT@10000
0xf9c6e80e9a5807a1214a79449009b48104f94444 # 黑马 | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=13.4211 v2=WBNB v3= uni=USDT@3000+USDT@10000
0x9212cf1f9f4a9c69bb010146ba5b0725169d4444 # bibi | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=4.6961 v2=WBNB v3= uni=WBNB@10000+USDT@100+USDT@3000+USDT@10000
0x3ee2200efb3400fabb9aacf31297cbdd1d435d47 # ADA | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=3.4650 v2=WBNB v3=WBNB@2500+USDT@2500 uni=WBNB@500+WBNB@3000+WBNB@10000+USDT@3000+USDT@10000
0x5f980533b994c93631a639deda7892fc49995839 # COSA | vetted  | tax ?/? | owner unknown | discover_multivenue src=vol vol=1.6351 v2=WBNB v3=WBNB@10000+USDT@500 uni=
0xba2ae424d960c26247dd6c32edc70b295c744c43 # DOGE | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=1.0940 v2=WBNB v3=WBNB@2500+USDT@10000 uni=WBNB@500+WBNB@3000+WBNB@10000+USDT@100+USDT@500+USDT@3000+USDT@10000
0x82ed0c6b54daebc098495f6aadf32f66eb084444 # 猫姐 | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.9829 v2=WBNB v3= uni=
0x99f5054f1d9799f901df533fbfe5d9b3f25b4444 # 战壕入门包 | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.7773 v2= v3= uni=
0x12bb890508c125661e03b09ec06e404bc9289040 # RACA | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.6531 v2= v3= uni=WBNB@10000+USDT@3000+USDT@10000
0x3203c9e46ca618c8c1ce5dc67e7e9d75f5da2377 # MBOX | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.5087 v2=WBNB v3= uni=WBNB@3000+WBNB@10000+USDT@3000+USDT@10000
0x1ce0c2827e2ef14d5c4f29a091d735a204794041 # AVAX | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.3174 v2=WBNB v3=WBNB@2500+USDT@2500 uni=WBNB@500+WBNB@3000+WBNB@10000+USDT@3000+USDT@10000
0xe6df05ce8c8301223373cf5b969afcb1498c5528 # KOGE | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.2465 v2=WBNB+USDT v3= uni=WBNB@100+WBNB@500+WBNB@3000+USDT@100+USDT@500+USDT@3000+USDT@10000
0x62d0a8458ed7719fdaf978fe5929c6d342b0bfce # BEAM | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3= uni=WBNB@3000+USDT@3000+USDT@10000
0xa7f552078dcc247c2684336020c03648500c6d9f # EPS | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3= uni=
0xb82ce467e525f17ffb2b4c8786b6ebe06b66a5a2 # AIX | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=USDT v3= uni=
0xd28e716fa02543962b3129f9e4d919c65f434444 # Libra | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3= uni=USDT@10000
0xc79fda51894dce271065e06df3f68ec19481aea5 # CBM | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=USDT v3= uni=
0xe9e7cea3dedca5984780bafc599bd69add087d56 # BUSD | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB+USDT v3=WBNB@100+WBNB@500+USDT@100 uni=WBNB@100+WBNB@500+WBNB@3000+WBNB@10000+USDT@100+USDT@500+USDT@3000+USDT@10000
0xbf5140a22578168fd562dccf235e5d43a02ce9b1 # UNI | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3=WBNB@500+WBNB@2500+USDT@10000 uni=WBNB@100+WBNB@500+WBNB@3000+WBNB@10000+USDT@500+USDT@3000+USDT@10000
0x44443dd87ec4d1bea3425acc118adb023f07f91b # 修仙 | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3= uni=WBNB@10000+USDT@10000
0x5a6117ee2ea174d5875e3c1880ecd7bc8da651b6 # KLIP | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3= uni=
0x44440f83419de123d7d411187adb9962db017d03 # BNBHolder | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3=WBNB@2500 uni=WBNB@10000+USDT@3000+USDT@10000
0x4444def5cf226bf50aa4b45e5748b676945bc509 # 世界和平 | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2= v3= uni=USDT@3000
0x2789033dfe80593f69d689f65892a75afa491111 # WM | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2= v3=USDT@100 uni=
0xf3c35a84ef311c847ce4da33c3c31c57770b3760 # POFD | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=USDT v3= uni=USDT@10000
0x85eac5ac2f758618dfa09bdbe0cf174e7d574d5b # TRX | vetted  | tax ?/? | owner unknown | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3= uni=
