0x7083609fce4d1d8dc0c979aab8c869ea2c873402 # DOT | vetted 2026-09-17 | tax 0/0 | owner active | discover_multivenue src=pairs vol=34.8813 v2=WBNB v3=WBNB@2500 uni=WBNB@500+WBNB@3000+WBNB@10000+USDT@3000+USDT@10000
0x3ee2200efb3400fabb9aacf31297cbdd1d435d47 # ADA | vetted 2026-09-17 | tax 0/0 | owner active | discover_multivenue src=pairs vol=3.4650 v2=WBNB v3=WBNB@2500+USDT@2500 uni=WBNB@500+WBNB@3000+WBNB@10000+USDT@3000+USDT@10000
0x5f980533b994c93631a639deda7892fc49995839 # COSA | vetted 2026-09-17 | tax 0/0 | owner renounced | discover_multivenue src=vol vol=1.6351 v2=WBNB v3=WBNB@10000+USDT@500 uni=
0xe6df05ce8c8301223373cf5b969afcb1498c5528 # KOGE | vetted 2026-09-17 | tax 0/0 | owner none | discover_multivenue src=pairs vol=0.2465 v2=WBNB+USDT v3= uni=WBNB@100+WBNB@500+WBNB@3000+USDT@100+USDT@500+USDT@3000+USDT@10000
0xe9e7cea3dedca5984780bafc599bd69add087d56 # BUSD | vetted 2026-09-17 | tax 0/0 | owner active | discover_multivenue src=pairs vol=0.0000 v2=WBNB+USDT v3=WBNB@100+WBNB@500+USDT@100 uni=WBNB@100+WBNB@500+WBNB@3000+WBNB@10000+USDT@100+USDT@500+USDT@3000+USDT@10000
0x44440f83419de123d7d411187adb9962db017d03 # BNBHolder | vetted 2026-09-17 | tax 0/0 | owner renounced | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3=WBNB@2500 uni=WBNB@10000+USDT@3000+USDT@10000
0x2170ed0880ac9a755fd29b2688956bd959f933f8 # ETH | vetted 2026-09-17 | tax 0/0 | owner active | discover_multivenue src=pairs vol=0.0000 v2=WBNB+USDT v3=WBNB@100+WBNB@500+WBNB@2500+USDT@100+USDT@500+USDT@2500 uni=WBNB@100+WBNB@500+WBNB@3000+WBNB@10000+USDT@100+USDT@500+USDT@3000+USDT@10000
0x92aa03137385f18539301349dcfc9ebc923ffb10 # SKYAI | vetted 2026-09-17 | tax 0/0 | owner renounced | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3=WBNB@10000+USDT@100 uni=WBNB@3000+USDT@100+USDT@500+USDT@3000+USDT@10000
0x6d5ad1592ed9d6d1df9b93c793ab759573ed6714 # Broccoli | vetted 2026-09-17 | tax 0/0 | owner renounced | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3=WBNB@10000 uni=WBNB@3000+WBNB@10000+USDT@100+USDT@10000
0xcf6bb5389c92bdda8a3747ddb454cb7a64626c63 # XVS | vetted 2026-09-17 | tax 0/0 | owner active | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3=WBNB@2500 uni=WBNB@500+WBNB@3000+WBNB@10000+USDT@100+USDT@500+USDT@3000+USDT@10000
0x0a43fc31a73013089df59194872ecae4cae14444 # 4 | vetted 2026-09-17 | tax 0/0 | owner renounced | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3=WBNB@10000+USDT@2500 uni=WBNB@100+WBNB@3000+WBNB@10000+USDT@100+USDT@3000+USDT@10000
0x7130d2a12b9bcbfae4f2634d864a1ee1ce3ead9c # BTCB | vetted 2026-09-17 | tax 0/0 | owner active | discover_multivenue src=pairs vol=0.0000 v2=WBNB+USDT v3=WBNB@100+WBNB@500+WBNB@2500+USDT@100+USDT@500 uni=WBNB@100+WBNB@500+WBNB@3000+WBNB@10000+USDT@100+USDT@500+USDT@3000+USDT@10000
0xf8a0bf9cf54bb92f17374d9e9a321e6a111a51bd # LINK | vetted 2026-09-17 | tax 0/0 | owner active | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3=WBNB@2500+USDT@2500 uni=WBNB@100+WBNB@500+WBNB@3000+WBNB@10000+USDT@500+USDT@3000+USDT@10000
0x6894cde390a3f51155ea41ed24a33a4827d3063d # CAT | vetted 2026-09-17 | tax 0/0 | owner none | discover_multivenue src=pairs vol=0.0000 v2=WBNB v3=WBNB@100 uni=WBNB@3000+WBNB@10000+USDT@3000+USDT@10000
