token	symbol	quote	pair	reserve_quote	verdict	buy_tax_bps	transfer_tax_bps	sell_tax_bps	sell_same_block	sell_next_block	max_tx_ok	same_wallet_ok	proxy	owner	verified	contract_name	static_groups	static_examples	reasons	block
0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d	USDC	WBNB	0xd99c7f6c65857ac913a8f880a4cb84032ab2fc5b	296.34	FAIL	0	0	0	ok	-	true	true	eip1967 impl=0xba5fe23f8a3a24bed3236f05f2fcf35fd0bf0b5c admin=0xd2f93484f2d319194cba95c5171b18c1d8cfd6c4	active 0xf68a4b64162906eff0ff6ae34e2bb1cd42fef62d	yes	BEP20UpgradeableProxy	clean,onlyOwner=0		proxy(eip1967 impl=0xba5fe23f8a3a24bed3236f05f2fcf35fd0bf0b5c admin=0xd2f93484f2d319194cba95c5171b18c1d8cfd6c4)	122346507
0x7083609fce4d1d8dc0c979aab8c869ea2c873402	DOT	WBNB	0xdd5bad8f8b360d76d12fda230f8baf42fe0022cf	162.05	PASS	0	0	0	ok	-	true	true	no	active 0xf68a4b64162906eff0ff6ae34e2bb1cd42fef62d	yes	BEP20Polkadot	mint_rebase:1,(mint_uncapped=info),onlyOwner=3	mint_rebase: function mint(uint256 amount) public onlyOwner returns (bool) {	dynamic clean; static khong co nhom rui ro (chi info: mint khong cap); owner active 0xf68a…f62d	122346507
0x3ee2200efb3400fabb9aacf31297cbdd1d435d47	ADA	WBNB	0x28415ff2c35b65b9e5c7de82126b4015ab9d031f	329.51	PASS	0	0	0	ok	-	true	true	no	active 0xf68a4b64162906eff0ff6ae34e2bb1cd42fef62d	yes	BEP20Cardano	mint_rebase:1,(mint_uncapped=info),onlyOwner=3	mint_rebase: function mint(uint256 amount) public onlyOwner returns (bool) {	dynamic clean; static khong co nhom rui ro (chi info: mint khong cap); owner active 0xf68a…f62d	122346515
0x5f980533b994c93631a639deda7892fc49995839	COSA	WBNB	0x5ba49664d2e190e03be22e81f9e3954938606fc2	71.14	PASS	0	0	0	ok	-	true	true	no	renounced	yes	Cosanta	clean,onlyOwner=2		dynamic clean; static clean; owner renounced	122346571
0xba2ae424d960c26247dd6c32edc70b295c744c43	DOGE	WBNB	0xac109c8025f272414fd9e2faa805a583708a017f	625.4	FAIL	0	0	0	ok	-	true	true	eip1967 impl=0xba5fe23f8a3a24bed3236f05f2fcf35fd0bf0b5c admin=0xd2f93484f2d319194cba95c5171b18c1d8cfd6c4	active 0xf68a4b64162906eff0ff6ae34e2bb1cd42fef62d	yes	BEP20UpgradeableProxy	clean,onlyOwner=0		proxy(eip1967 impl=0xba5fe23f8a3a24bed3236f05f2fcf35fd0bf0b5c admin=0xd2f93484f2d319194cba95c5171b18c1d8cfd6c4)	122346580
0x1ce0c2827e2ef14d5c4f29a091d735a204794041	AVAX	WBNB	0x151268db1579ebc5306d4aaa5dcc627646e6986f	124.89	FAIL	0	0	0	ok	-	true	true	eip1967 impl=0xba5fe23f8a3a24bed3236f05f2fcf35fd0bf0b5c admin=0xd2f93484f2d319194cba95c5171b18c1d8cfd6c4	active 0xf68a4b64162906eff0ff6ae34e2bb1cd42fef62d	yes	BEP20UpgradeableProxy	clean,onlyOwner=0		proxy(eip1967 impl=0xba5fe23f8a3a24bed3236f05f2fcf35fd0bf0b5c admin=0xd2f93484f2d319194cba95c5171b18c1d8cfd6c4)	122346516
0xe6df05ce8c8301223373cf5b969afcb1498c5528	KOGE	WBNB	0x26de6c26dd5560c181011907d8f70c202c2a29d6	51.77	PASS	0	0	0	ok	-	true	true	no	none	yes	KogeToken	clean,onlyOwner=0		dynamic clean; static clean; owner none	122346524
0xe9e7cea3dedca5984780bafc599bd69add087d56	BUSD	WBNB	0x58f876857a02d6762e0101bb5c46a8c1ed44dc16	6275.44	PASS	0	0	0	ok	-	true	true	no	active 0xd2f93484f2d319194cba95c5171b18c1d8cfd6c4	yes	BEP20Token	mint_rebase:1,(mint_uncapped=info),onlyOwner=3	mint_rebase: function mint(uint256 amount) public onlyOwner returns (bool) {	dynamic clean; static khong co nhom rui ro (chi info: mint khong cap); owner active 0xd2f9…d6c4	122346526
0xbf5140a22578168fd562dccf235e5d43a02ce9b1	UNI	WBNB	0x014608e87af97a054c9a49f81e1473076d51d9a3	242.63	FAIL	0	0	0	ok	-	true	true	eip1967 impl=0xba5fe23f8a3a24bed3236f05f2fcf35fd0bf0b5c admin=0xd2f93484f2d319194cba95c5171b18c1d8cfd6c4	active 0xf68a4b64162906eff0ff6ae34e2bb1cd42fef62d	yes	BEP20UpgradeableProxy	clean,onlyOwner=0		proxy(eip1967 impl=0xba5fe23f8a3a24bed3236f05f2fcf35fd0bf0b5c admin=0xd2f93484f2d319194cba95c5171b18c1d8cfd6c4)	122346535
0x44440f83419de123d7d411187adb9962db017d03	BNBHolder	WBNB	0x258b62531e0d6c8d1e2e7ff23904fd851def77ca	284.4	PASS	0	0	0	ok	-	true	true	no	renounced	yes	Token	clean,onlyOwner=4		dynamic clean; static clean; owner renounced	122346541
0x2170ed0880ac9a755fd29b2688956bd959f933f8	ETH	WBNB	0x74e4716e431f45807dcf19f284c7aa99f18a4fbc	2127.09	PASS	0	0	0	ok	-	true	true	no	active 0xf68a4b64162906eff0ff6ae34e2bb1cd42fef62d	yes	BEP20Ethereum	mint_rebase:1,(mint_uncapped=info),onlyOwner=3	mint_rebase: function mint(uint256 amount) public onlyOwner returns (bool) {	dynamic clean; static khong co nhom rui ro (chi info: mint khong cap); owner active 0xf68a…f62d	122346545
0x92aa03137385f18539301349dcfc9ebc923ffb10	SKYAI	WBNB	0xbc42145d5a574ede9b8860fca2a49eb7b239efa5	4748.58	PASS	0	0	0	ok	-	true	true	no	renounced	yes	SKYAIToken	clean,onlyOwner=2		dynamic clean; static clean; owner renounced	122346550
0x6d5ad1592ed9d6d1df9b93c793ab759573ed6714	Broccoli	WBNB	0x9eb0bc7a207f77811ee365729d00152622a745b7	445.48	PASS	0	0	0	ok	-	true	true	no	renounced	yes	Token	clean,onlyOwner=3		dynamic clean; static clean; owner renounced	122346553
0xcf6bb5389c92bdda8a3747ddb454cb7a64626c63	XVS	WBNB	0x7eb5d86fd78f3852a3e0e064f2842d45a3db6ea2	76.59	PASS	0	0	0	ok	-	true	true	no	active 0x3a3284dc0faffb0b5f0d074c4c704d14326c98cf	yes	XVS	clean,onlyOwner=3		dynamic clean; static clean; owner active 0x3a32…98cf	122346558
0x0a43fc31a73013089df59194872ecae4cae14444	4	WBNB	0xf0a949d3d93b833c183a27ee067165b6f2c9625e	1095.59	PASS	0	0	0	ok	-	true	true	no	renounced	yes	Token	clean,onlyOwner=4		dynamic clean; static clean; owner renounced	122346562
0x7130d2a12b9bcbfae4f2634d864a1ee1ce3ead9c	BTCB	WBNB	0x61eb789d75a95caa3ff50ed7e47b96c132fec082	2129.04	PASS	0	0	0	ok	-	true	true	no	active 0xf68a4b64162906eff0ff6ae34e2bb1cd42fef62d	yes	BEP20Token	mint_rebase:1,(mint_uncapped=info),onlyOwner=3	mint_rebase: function mint(uint256 amount) public onlyOwner returns (bool) {	dynamic clean; static khong co nhom rui ro (chi info: mint khong cap); owner active 0xf68a…f62d	122346568
0xf8a0bf9cf54bb92f17374d9e9a321e6a111a51bd	LINK	WBNB	0x824eb9fadfb377394430d2744fa7c42916de3ece	356.17	PASS	0	0	0	ok	-	true	true	no	active 0xf68a4b64162906eff0ff6ae34e2bb1cd42fef62d	yes	BEP20LINK	mint_rebase:1,(mint_uncapped=info),onlyOwner=3	mint_rebase: function mint(uint256 amount) public onlyOwner returns (bool) {	dynamic clean; static khong co nhom rui ro (chi info: mint khong cap); owner active 0xf68a…f62d	122346577
0x6894cde390a3f51155ea41ed24a33a4827d3063d	CAT	WBNB	0x6df9adc1837bf37e0b1b943d59a7e50d9678c81b	3744.72	PASS	0	0	0	ok	-	true	true	no	none	yes	ScatToken	clean,onlyOwner=0		dynamic clean; static clean; owner none	122346586
0xc748673057861a797275cd8a068abb95a902e8de	BabyDoge	WBNB	0xc736ca3d9b1e90af4230bd8f9626528b3d4e0ee0	5956.07	PASS	0	0	0	ok	-	true	true	no	renounced	yes	CoinToken	fee:19,blacklist:1,limit:6,mint_rebase:37,owner_power:6,onlyOwner=13	fee: uint256 public _taxFee; ;; blacklist: function isExcludedFromFee(address account) public view returns(bool) { ;; limit: uint256 public _maxTxAmount; ;; mint_rebase: mapping (address => uint256) private _rOwned; ;; owner_power: excludeFromReward,excludeFromFee,includeInFee,setTaxFeePercent,setLiquidityFeePercent,setSwapAndLiquifyEnabled	dynamic clean; static fee,blacklist,limit,mint_rebase,owner_power nhung owner renounced	122346590
0x4338665cbb7b2485a8855a139b75d5e34ab0db94	LTC	WBNB	0x71b01ebddd797c8e9e0b003ea2f4fd207fbf46cc	53.93	PASS	0	0	0	ok	-	true	true	no	active 0xf68a4b64162906eff0ff6ae34e2bb1cd42fef62d	yes	BEP20BitcoinCash	mint_rebase:1,(mint_uncapped=info),onlyOwner=3	mint_rebase: function mint(uint256 amount) public onlyOwner returns (bool) {	dynamic clean; static khong co nhom rui ro (chi info: mint khong cap); owner active 0xf68a…f62d	122346595
0xd5eaaac47bd1993d661bc087e15dfb079a7f3c19	KOMA	WBNB	0x0ec12db33551afba853b691b4edf49196ea0e99a	1753.63	PASS	0	0	0	ok	-	true	true	no	renounced	yes	KOMA	fee:16,antimev:4,owner_power:2,onlyOwner=10	fee: uint256 public buyFee = 500; ;; antimev: bool private tradingOpen = false; ;; owner_power: startTrading,setSwapAndLiqEnabled	dynamic clean; static fee,antimev,owner_power nhung owner renounced	122346603
0x0df0587216a4a1bb7d5082fdc491d93d2dd4b413	Cheems	WBNB	0xaf0eb8f2f114917ef0026105c070cf08423f488e	1196.2	PASS	0	0	0	ok	-	true	true	no	renounced	yes	ERC20Mintable	clean,onlyOwner=4		dynamic clean; static clean; owner renounced	122346612
0x55d398326f99059ff775485246999027b3197955	USDT	WBNB	0x16b9a82891338f9ba80e2d6970fdda79d1eb0dae	52945.5	PASS	0	0	0	ok	-	true	true	no	active 0xf68a4b64162906eff0ff6ae34e2bb1cd42fef62d	yes	BEP20USDT	mint_rebase:1,(mint_uncapped=info),onlyOwner=3	mint_rebase: function mint(uint256 amount) public onlyOwner returns (bool) {	dynamic clean; static khong co nhom rui ro (chi info: mint khong cap); owner active 0xf68a…f62d	122346644
0xc51a9250795c0186a6fb4a7d20a90330651e4444	我踏马来了	WBNB	0xa651c8deb3ff9f8d56a26e72042b7a8a1f433480	711	PASS	0	0	0	ok	-	true	true	no	renounced	yes	Token	clean,onlyOwner=4		dynamic clean; static clean; owner renounced	122346616
0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82	Cake	WBNB	0x0ed7e52944161450477ee417de9cd3a859b14fd0	13779.4	PASS	0	0	0	ok	-	true	true	no	active 0x73feaa1ee314f8c655e354234017be2193c9e24e	yes	CakeToken	mint_rebase:2,(mint_uncapped=info),onlyOwner=4	mint_rebase: function mint(uint256 amount) public onlyOwner returns (bool) {	dynamic clean; static khong co nhom rui ro (chi info: mint khong cap); owner active 0x73fe…e24e	122346620
0x1d2f0da169ceb9fc7b3144628db156f3f6c60dbe	XRP	WBNB	0x03f18135c44c64ebfdcbad8297fe5bdafdbbdd86	504.21	PASS	0	0	0	ok	-	true	true	no	active 0xf68a4b64162906eff0ff6ae34e2bb1cd42fef62d	yes	BEP20XRP	mint_rebase:1,(mint_uncapped=info),onlyOwner=3	mint_rebase: function mint(uint256 amount) public onlyOwner returns (bool) {	dynamic clean; static khong co nhom rui ro (chi info: mint khong cap); owner active 0xf68a…f62d	122346625
0x000ae314e2a2172a039b26378814c252734f556a	ASTER	WBNB	0x8a71e31fd7259b52b5b59317da8a45d3612ed42b	59	PASS	0	0	0	ok	-	true	true	no	none	yes	AsterToken	clean,onlyOwner=0		dynamic clean; static clean; owner none	122346629
0x80f1ff15b887cb19295d88c8c16f89d47f6d8888	COCO	USDT	0x49fd154a3784fb2f9b56cdbcaa0eef07865338f5	754506.15	PASS	0	0	0	ok	-	true	true	eip1167(clone) impl=0x8b4329947e34b6d56d71a3385cac122bade7d78d	renounced	yes	TokenV2	clean,onlyOwner=3		dynamic clean; static clean; owner renounced	122346634
