ts	decision	token	route_kind	net_wei	borrow	buy	sell	flash
2026-09-17T04:45:03.527409829+00:00	unprofitable	0x55d398326f99059ff775485246999027b3197955	v2_v3	-450000000000001	2	0x16b9a82891338f9ba80e2d6970fdda79d1eb0dae	0x172fcd41e0913e95784454622d1c3724f546f849	infinity_vault
2026-09-17T04:45:05.540182278+00:00	unprofitable	0x55d398326f99059ff775485246999027b3197955	v2_v3	-450000000000001	2	0x16b9a82891338f9ba80e2d6970fdda79d1eb0dae	0x172fcd41e0913e95784454622d1c3724f546f849	infinity_vault
2026-09-17T04:48:21.492711782+00:00	unprofitable	0x55d398326f99059ff775485246999027b3197955	v2_v3	-450000000000001	2	0x16b9a82891338f9ba80e2d6970fdda79d1eb0dae	0x172fcd41e0913e95784454622d1c3724f546f849	infinity_vault
2026-09-17T04:50:23.746270793+00:00	unprofitable	0x55d398326f99059ff775485246999027b3197955	v2_v3	-450000000000001	2	0x16b9a82891338f9ba80e2d6970fdda79d1eb0dae	0x172fcd41e0913e95784454622d1c3724f546f849	infinity_vault
2026-09-17T04:53:13.895763128+00:00	unprofitable	0x55d398326f99059ff775485246999027b3197955	v2_v3	-450000000000001	2	0x16b9a82891338f9ba80e2d6970fdda79d1eb0dae	0x172fcd41e0913e95784454622d1c3724f546f849	infinity_vault
2026-09-17T04:53:32.231093368+00:00	unprofitable	0x55d398326f99059ff775485246999027b3197955	v2_v3	-450000000000001	2	0x16b9a82891338f9ba80e2d6970fdda79d1eb0dae	0x172fcd41e0913e95784454622d1c3724f546f849	infinity_vault
2026-09-17T05:02:27.314972076+00:00	simulated	0x924fa68a0fc644485b8df8abfa0a41c2e7744444	v3_v3	4919631812240895214	46474418712574309850	0x75c5fbf77c1cd517544487aca4cc41e1ad95aced	0xa1ff9406219ffa6bcc3d89c2719dd91d231d4cee	infinity_vault
2026-09-17T05:03:12.805537720+00:00	unprofitable	0x55d398326f99059ff775485246999027b3197955	v2_v3	-450000000000001	2	0x16b9a82891338f9ba80e2d6970fdda79d1eb0dae	0x172fcd41e0913e95784454622d1c3724f546f849	infinity_vault
2026-09-17T05:03:43.287101859+00:00	simulated	0x0a43fc31a73013089df59194872ecae4cae14444	v3_v3	2664601520833921697	40191423029030987265	0xee04b2a82bab9efefcd626f5d66f51cc2b6fa12a	0xc9f124dccc7095de7bf65d388cd75519669a6b2e	infinity_vault
2026-09-17T05:04:07.149728446+00:00	unprofitable	0x55d398326f99059ff775485246999027b3197955	v2_v3	-450000000000001	2	0x16b9a82891338f9ba80e2d6970fdda79d1eb0dae	0x172fcd41e0913e95784454622d1c3724f546f849	infinity_vault
2026-09-17T05:04:16.674172175+00:00	simulated	0x0a43fc31a73013089df59194872ecae4cae14444	v3_v3	2664601520833921697	40191423029030987265	0xee04b2a82bab9efefcd626f5d66f51cc2b6fa12a	0xc9f124dccc7095de7bf65d388cd75519669a6b2e	infinity_vault
n=11
