ts	symbol	token	route	buy	sell	borrow_usdt	net_usdt	flash	hash
2026-09-17T12:56:02	4	0x0a43fc31a73013089df59194872ecae4cae14444	v3_v3	pcs_v3	pcs_v3	32.761030	1.813484	infinity_vault	0x487c33fe3d588ac6566ae63e6e7018b02d0499b1321a562a2624f097607209f7
2026-09-17T12:56:03	LINK	0x924fa68a0fc644485b8df8abfa0a41c2e7744444	v3_v3	uni_v3	pcs_v3	46.372956	4.902730	infinity_vault	0x0f9be5357e3c820ae8a9decebc786a7fd2c660008334f977bac347d5c148408a
2026-09-17T12:59:24	4	0x0a43fc31a73013089df59194872ecae4cae14444	v3_v3	pcs_v3	pcs_v3	32.934211	1.823740	infinity_vault	0x63bb39daa9ee41300afc22af71cd65fb00ee0e5e43f864b2b44b07bdcd37c0ca
2026-09-17T13:02:37	LINK	0x924fa68a0fc644485b8df8abfa0a41c2e7744444	v3_v3	uni_v3	pcs_v3	46.372956	4.902730	infinity_vault	0x41370019b4b5e906db8007181e343b001519d41e0447913179d804bae92990a2
2026-09-17T13:02:40	4	0x0a43fc31a73013089df59194872ecae4cae14444	v3_v3	pcs_v3	pcs_v3	32.325603	1.752745	infinity_vault	0x85a80380b94bf656976efa9040462e86eedccf231cfcbbc0dfb0854fb6b314f1
2026-09-17T13:04:46	4	0x0a43fc31a73013089df59194872ecae4cae14444	v3_v3	pcs_v3	pcs_v3	35.177890	2.058261	infinity_vault	0xc0045f368d856557f9c32e23ee1e7b075a0407a2b8977dbc256b516e6ace094a
2026-09-17T13:04:55	LINK	0x924fa68a0fc644485b8df8abfa0a41c2e7744444	v3_v3	uni_v3	pcs_v3	46.372956	4.902730	infinity_vault	0xdf3c6638833eaa814a1d053253cb13ed911ea53f20a2928b3d61d7bd8070e778
2026-09-17T13:05:23	4	0x0a43fc31a73013089df59194872ecae4cae14444	v3_v3	pcs_v3	pcs_v3	35.345129	2.079217	infinity_vault	0x729e51f5d32d15f77aa9154b5a29b207a0586d73c4142cb5fee6fc5a15c3209d
2026-09-17T13:05:33	4	0x0a43fc31a73013089df59194872ecae4cae14444	v3_v3	pcs_v3	pcs_v3	35.345129	2.079217	infinity_vault	0xe9724c302cace6a108adf87e5e0c2ff3d3beddb342f522e2a6abe70f87781b79
2026-09-17T13:06:50	4	0x0a43fc31a73013089df59194872ecae4cae14444	v3_v3	pcs_v3	pcs_v3	35.983304	2.160277	infinity_vault	0x31b657b62ad710c435a2b701a934be8e30a78e3fd5f8c4b34c76ed995902443a
2026-09-17T13:07:19	4	0x0a43fc31a73013089df59194872ecae4cae14444	v3_v3	pcs_v3	pcs_v3	35.983304	2.160277	infinity_vault	0xf2f32b1e38bc502fe077d026837fdc3f87da053d58762d66f03213d66b38fd05
2026-09-17T13:08:18	Cake	0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82	v3_v3	pcs_v3	pcs_v3	195.058900	12.042311	infinity_vault	0xefabc7bfd29e81ed7897df19d18defaa89840f780a7307f5aec021c8d50ff779
2026-09-17T13:08:40	4	0x0a43fc31a73013089df59194872ecae4cae14444	v3_v3	pcs_v3	pcs_v3	36.103055	2.175682	infinity_vault	0x1b335a6a261aba74ebe732e0d334db646e2562091ccc53505bf3f847fd769ae6
2026-09-17T13:09:17	4	0x0a43fc31a73013089df59194872ecae4cae14444	v3_v3	pcs_v3	pcs_v3	36.348576	2.207458	infinity_vault	0x91f718b77e3f00b1915dfab14b133dcde1c444c65178cefad2af7d6cf2dd2c6e
2026-09-17T13:09:23	4	0x0a43fc31a73013089df59194872ecae4cae14444	v3_v3	pcs_v3	pcs_v3	36.345801	2.207098	infinity_vault	0x1d80be681e29c21f6abd072fa48962673bd6a171d19db3bc220713141dff7a1e
2026-09-17T13:10:30	4	0x0a43fc31a73013089df59194872ecae4cae14444	v3_v3	pcs_v3	pcs_v3	36.875259	2.276497	infinity_vault	0x11a99c3596888155191e926ca6c696c6ace0a4641a35f38e37f25203d98ea5db
2026-09-17T13:12:28	4	0x0a43fc31a73013089df59194872ecae4cae14444	v3_v3	pcs_v3	pcs_v3	36.875259	2.276497	infinity_vault	0x3f966e9fcfcab361898a0a4c71604af37d158f08b2aecf0f0a294f33aa7fc3a4
2026-09-17T13:26:17	4	0x0a43fc31a73013089df59194872ecae4cae14444	v3_v3	pcs_v3	pcs_v3	36.919065	2.269609	infinity_vault	0x6a4573236ca82f2389ec53cbf62238cf9347634b99215aec7605226a1e9d443f
