arb_replay_18 n_sim=3 n_http=5 n_url=6 hosts=bsc.blockrazor.xyz,rpc-bsc.48.club,bsc-dataseed1.bnbchain.org,bsc-dataseed1.defibit.io,bsc-rpc.publicnode.com,bsc.rpc.blxrbdn.com
connect_ok host=bsc.blockrazor.xyz head=122428418
connect_ok host=rpc-bsc.48.club head=122428419
connect_ok host=bsc-dataseed1.bnbchain.org head=122428420
connect_ok host=bsc-dataseed1.defibit.io head=122428421
connect_ok host=bsc-rpc.publicnode.com head=122428422
connect_ok host=bsc.rpc.blxrbdn.com head=122428423
n_simulated=18
token	symbol	route	borrow	profit_paper	profit_revm	lech_pct	revert_yes_no	block	hash	flash	err
0x0a43fc31a73013089df59194872ecae4cae14444	4	v3_v3	32.761030	1.813484	MISSING	MISSING	MISSING	122417145	0x487c33fe3d588ac6566ae63e6e7018b02d0499b1321a562a2624f097607209f7	infinity_vault	ARCHIVE all_rpc getStorageAt -32000/missing_trie hosts=bsc.blockrazor.xyz,rpc-bsc.48.club,bsc-dataseed1.bnbchain.org,bsc-dataseed1.defibit.io,bsc-rpc.publicnode.com,bsc.rpc.blxrbdn.com
0x924fa68a0fc644485b8df8abfa0a41c2e7744444	币安人生	v3_v3	46.372956	4.902730	MISSING	MISSING	MISSING	122417145	0x0f9be5357e3c820ae8a9decebc786a7fd2c660008334f977bac347d5c148408a	infinity_vault	ARCHIVE all_rpc getStorageAt -32000/missing_trie hosts=bsc.blockrazor.xyz,rpc-bsc.48.club,bsc-dataseed1.bnbchain.org,bsc-dataseed1.defibit.io,bsc-rpc.publicnode.com,bsc.rpc.blxrbdn.com
0x0a43fc31a73013089df59194872ecae4cae14444	4	v3_v3	32.934211	1.823740	MISSING	MISSING	MISSING	122417590	0x63bb39daa9ee41300afc22af71cd65fb00ee0e5e43f864b2b44b07bdcd37c0ca	infinity_vault	ARCHIVE all_rpc getStorageAt -32000/missing_trie hosts=bsc.blockrazor.xyz,rpc-bsc.48.club,bsc-dataseed1.bnbchain.org,bsc-dataseed1.defibit.io,bsc-rpc.publicnode.com,bsc.rpc.blxrbdn.com
0x924fa68a0fc644485b8df8abfa0a41c2e7744444	币安人生	v3_v3	46.372956	4.902730	MISSING	MISSING	MISSING	122418027	0x41370019b4b5e906db8007181e343b001519d41e0447913179d804bae92990a2	infinity_vault	ARCHIVE all_rpc getStorageAt -32000/missing_trie hosts=bsc.blockrazor.xyz,rpc-bsc.48.club,bsc-dataseed1.bnbchain.org,bsc-dataseed1.defibit.io,bsc-rpc.publicnode.com,bsc.rpc.blxrbdn.com
0x0a43fc31a73013089df59194872ecae4cae14444	4	v3_v3	32.325603	1.752745	MISSING	MISSING	MISSING	122418027	0x85a80380b94bf656976efa9040462e86eedccf231cfcbbc0dfb0854fb6b314f1	infinity_vault	ARCHIVE all_rpc getStorageAt -32000/missing_trie hosts=bsc.blockrazor.xyz,rpc-bsc.48.club,bsc-dataseed1.bnbchain.org,bsc-dataseed1.defibit.io,bsc-rpc.publicnode.com,bsc.rpc.blxrbdn.com
0x0a43fc31a73013089df59194872ecae4cae14444	4	v3_v3	35.177890	2.058261	MISSING	MISSING	MISSING	122418306	0xc0045f368d856557f9c32e23ee1e7b075a0407a2b8977dbc256b516e6ace094a	infinity_vault	ARCHIVE all_rpc getStorageAt -32000/missing_trie hosts=bsc.blockrazor.xyz,rpc-bsc.48.club,bsc-dataseed1.bnbchain.org,bsc-dataseed1.defibit.io,bsc-rpc.publicnode.com,bsc.rpc.blxrbdn.com
0x924fa68a0fc644485b8df8abfa0a41c2e7744444	币安人生	v3_v3	46.372956	4.902730	MISSING	MISSING	MISSING	122418329	0xdf3c6638833eaa814a1d053253cb13ed911ea53f20a2928b3d61d7bd8070e778	infinity_vault	ARCHIVE all_rpc getStorageAt -32000/missing_trie hosts=bsc.blockrazor.xyz,rpc-bsc.48.club,bsc-dataseed1.bnbchain.org,bsc-dataseed1.defibit.io,bsc-rpc.publicnode.com,bsc.rpc.blxrbdn.com
0x0a43fc31a73013089df59194872ecae4cae14444	4	v3_v3	35.345129	2.079217	MISSING	MISSING	MISSING	122418398	0x729e51f5d32d15f77aa9154b5a29b207a0586d73c4142cb5fee6fc5a15c3209d	infinity_vault	ARCHIVE all_rpc getStorageAt -32000/missing_trie hosts=bsc.blockrazor.xyz,rpc-bsc.48.club,bsc-dataseed1.bnbchain.org,bsc-dataseed1.defibit.io,bsc-rpc.publicnode.com,bsc.rpc.blxrbdn.com
0x0a43fc31a73013089df59194872ecae4cae14444	4	v3_v3	35.345129	2.079217	MISSING	MISSING	MISSING	122418420	0xe9724c302cace6a108adf87e5e0c2ff3d3beddb342f522e2a6abe70f87781b79	infinity_vault	ARCHIVE all_rpc getStorageAt -32000/missing_trie hosts=bsc.blockrazor.xyz,rpc-bsc.48.club,bsc-dataseed1.bnbchain.org,bsc-dataseed1.defibit.io,bsc-rpc.publicnode.com,bsc.rpc.blxrbdn.com
0x0a43fc31a73013089df59194872ecae4cae14444	4	v3_v3	35.983304	2.160277	MISSING	MISSING	MISSING	122418586	0x31b657b62ad710c435a2b701a934be8e30a78e3fd5f8c4b34c76ed995902443a	infinity_vault	ARCHIVE all_rpc getStorageAt -32000/missing_trie hosts=bsc.blockrazor.xyz,rpc-bsc.48.club,bsc-dataseed1.bnbchain.org,bsc-dataseed1.defibit.io,bsc-rpc.publicnode.com,bsc.rpc.blxrbdn.com
0x0a43fc31a73013089df59194872ecae4cae14444	4	v3_v3	35.983304	2.160277	MISSING	MISSING	MISSING	122418656	0xf2f32b1e38bc502fe077d026837fdc3f87da053d58762d66f03213d66b38fd05	infinity_vault	ARCHIVE all_rpc getStorageAt -32000/missing_trie hosts=bsc.blockrazor.xyz,rpc-bsc.48.club,bsc-dataseed1.bnbchain.org,bsc-dataseed1.defibit.io,bsc-rpc.publicnode.com,bsc.rpc.blxrbdn.com
0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82	Cake	v3_v3	195.058900	12.042311	MISSING	MISSING	MISSING	122418792	0xefabc7bfd29e81ed7897df19d18defaa89840f780a7307f5aec021c8d50ff779	infinity_vault	ARCHIVE all_rpc getStorageAt -32000/missing_trie hosts=bsc.blockrazor.xyz,rpc-bsc.48.club,bsc-dataseed1.bnbchain.org,bsc-dataseed1.defibit.io,bsc-rpc.publicnode.com,bsc.rpc.blxrbdn.com
