token_sym	token	route	borrow_bnb	net_paper_bnb	net_quoter_bnb	size_quote_applied	flash	pair_buy	pair_sell	hash
币安人生	0x924fa68a0fc644485b8df8abfa0a41c2e7744444	v2_v3	1.989860	0.005752	0.005752	True	infinity_vault	0x66f289de31eef70d52186729d2637ac978cfc56b	0xa1ff9406219ffa6bcc3d89c2719dd91d231d4cee	0xbc42244db9572b202239761ec2ac20804b0854eef01139f89bc1aae0aab97013
4	0x0a43fc31a73013089df59194872ecae4cae14444	v2_v3	2.585473	0.013411	0.013411	True	infinity_vault	0xf0a949d3d93b833c183a27ee067165b6f2c9625e	0xee04b2a82bab9efefcd626f5d66f51cc2b6fa12a	0x657218fc2621df92676029346db880a163276d26d4baf15e88caeaf7d5990f53
4	0x0a43fc31a73013089df59194872ecae4cae14444	v2_v3	2.585506	0.013412	0.013412	True	infinity_vault	0xf0a949d3d93b833c183a27ee067165b6f2c9625e	0xee04b2a82bab9efefcd626f5d66f51cc2b6fa12a	0x403cc445f991e782235cdfb664430fcc7d07acd4b5b998a8e934a1dde4b98569
4	0x0a43fc31a73013089df59194872ecae4cae14444	v2_v3	2.454692	0.012053	0.012053	True	infinity_vault	0xf0a949d3d93b833c183a27ee067165b6f2c9625e	0xee04b2a82bab9efefcd626f5d66f51cc2b6fa12a	0xce7aafe720bb455a6b2e5a385ab7079023564d97e107ead18361b7fa34fc8e5a
4	0x0a43fc31a73013089df59194872ecae4cae14444	v2_v3	2.502680	0.012558	0.012558	True	infinity_vault	0xf0a949d3d93b833c183a27ee067165b6f2c9625e	0xee04b2a82bab9efefcd626f5d66f51cc2b6fa12a	0xc71f56666fc398f6238b6228ff41c727c99467bc8664791f9a032bf5e3ec859b
币安人生	0x924fa68a0fc644485b8df8abfa0a41c2e7744444	v2_v3	1.975102	0.005664	0.005664	True	infinity_vault	0x66f289de31eef70d52186729d2637ac978cfc56b	0xa1ff9406219ffa6bcc3d89c2719dd91d231d4cee	0x02896c83fc327e5185f797ec25a8fb7bb6b23fa0a7b2e644f64eba9070c061d8
4	0x0a43fc31a73013089df59194872ecae4cae14444	v2_v3	2.400094	0.011538	0.011538	True	infinity_vault	0xf0a949d3d93b833c183a27ee067165b6f2c9625e	0xee04b2a82bab9efefcd626f5d66f51cc2b6fa12a	0x85d57a7caf41df976d9f9b9845fbde51b3d27cbd3bfceadf0f84d6b7a325c530
我踏马来了	0xc51a9250795c0186a6fb4a7d20a90330651e4444	v2_v3	2.600822	0.010795	0.010795	True	infinity_vault	0xa651c8deb3ff9f8d56a26e72042b7a8a1f433480	0x6aa382bff27b6d74d3546ad6419398ad2fe1b236	0xc0020ff64a7ed162876224265a3147fa5028b82a2085c35a1a03e0cb856b5c30
4	0x0a43fc31a73013089df59194872ecae4cae14444	v2_v3	2.535789	0.012845	0.012849	True	infinity_vault	0xf0a949d3d93b833c183a27ee067165b6f2c9625e	0xee04b2a82bab9efefcd626f5d66f51cc2b6fa12a	0x73a4958a796e7ab9b603ad368fcd9d2f014266a31de3866cd7ea752dd8fd6a15
4	0x0a43fc31a73013089df59194872ecae4cae14444	v2_v3	2.490468	0.012371	0.012375	True	infinity_vault	0xf0a949d3d93b833c183a27ee067165b6f2c9625e	0xee04b2a82bab9efefcd626f5d66f51cc2b6fa12a	0x2799839cb99839c0f5289cdce7213024fc940036ef7ae140bb57c5e4041f8481
4	0x0a43fc31a73013089df59194872ecae4cae14444	v2_v3	2.517964	0.012597	0.012600	True	infinity_vault	0xf0a949d3d93b833c183a27ee067165b6f2c9625e	0xee04b2a82bab9efefcd626f5d66f51cc2b6fa12a	0xcdb08900af6f7ae32b14cacbebc414c7de197c0a01f8bc6851fb18f8a21534c4
4	0x0a43fc31a73013089df59194872ecae4cae14444	v2_v3	2.590105	0.013384	0.013396	True	infinity_vault	0xf0a949d3d93b833c183a27ee067165b6f2c9625e	0xee04b2a82bab9efefcd626f5d66f51cc2b6fa12a	0x493cd4d9043a4686a6dfa3588a389f14b0eeeb5205e3e6421eb0bb3ff75ab5fb
Cake	0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82	v3_v3	20.000000	0.319424	0.316064	True	infinity_vault	0xafb2da14056725e3ba3a30dd846b6bbbd7886c56	0x7f51c8aaa6b0599abd16674e2b17fec7a9f674a1	0x7ba67696c2fcd9c49cf921c5dd52097bedf24ce4c62d0c1a0cf854d9c928cc1d
币安人生	0x924fa68a0fc644485b8df8abfa0a41c2e7744444	v2_v3	1.959313	0.005570	0.005570	True	infinity_vault	0x66f289de31eef70d52186729d2637ac978cfc56b	0xa1ff9406219ffa6bcc3d89c2719dd91d231d4cee	0x216d32058da248d92a71f5cb58851e1424a6d14ae3e1aa1f1f0505eb3047edc6
