token	symbol	route	borrow_BNB	net_paper	net_quoter	profit_revm	lech_pct_vs_quoter	revert	block	tx_hash	flash	err
0x924fa68a0fc644485b8df8abfa0a41c2e7744444	币安人生	v2_v3	1.989860	0.005752	0.005752	-0.041972	-829.6702	no	122443508	0xbc42244db9572b202239761ec2ac20804b0854eef01139f89bc1aae0aab97013	infinity_vault	FAIL_LECH>20 host=bsc-mainnet.nodereal.io#0
0x0a43fc31a73013089df59194872ecae4cae14444	4	v2_v3	2.585473	0.013411	0.013411	-0.049150	-466.4797	no	122443922	0x657218fc2621df92676029346db880a163276d26d4baf15e88caeaf7d5990f53	infinity_vault	FAIL_LECH>20 host=bsc-mainnet.nodereal.io#0
0x0a43fc31a73013089df59194872ecae4cae14444	4	v2_v3	2.585506	0.013412	0.013412	-0.049151	-466.4777	no	122443922	0x403cc445f991e782235cdfb664430fcc7d07acd4b5b998a8e934a1dde4b98569	infinity_vault	FAIL_LECH>20 host=bsc-mainnet.nodereal.io#0
0x0a43fc31a73013089df59194872ecae4cae14444	4	v2_v3	2.454692	0.012053	0.012053	-0.047952	-497.8337	no	122444167	0xce7aafe720bb455a6b2e5a385ab7079023564d97e107ead18361b7fa34fc8e5a	infinity_vault	FAIL_LECH>20 host=bsc-mainnet.nodereal.io#0
0x0a43fc31a73013089df59194872ecae4cae14444	4	v2_v3	2.502680	0.012558	0.012558	-0.048478	-486.0219	no	122444258	0xc71f56666fc398f6238b6228ff41c727c99467bc8664791f9a032bf5e3ec859b	infinity_vault	FAIL_LECH>20 host=bsc-mainnet.nodereal.io#0
0x924fa68a0fc644485b8df8abfa0a41c2e7744444	币安人生	v2_v3	1.975102	0.005664	0.005664	-0.042356	-847.8726	no	122444338	0x02896c83fc327e5185f797ec25a8fb7bb6b23fa0a7b2e644f64eba9070c061d8	infinity_vault	FAIL_LECH>20 host=bsc-mainnet.nodereal.io#0
0x0a43fc31a73013089df59194872ecae4cae14444	4	v2_v3	2.400094	0.011538	0.011538	-0.047363	-510.4877	no	122444607	0x85d57a7caf41df976d9f9b9845fbde51b3d27cbd3bfceadf0f84d6b7a325c530	infinity_vault	FAIL_LECH>20 host=bsc-mainnet.nodereal.io#0
0xc51a9250795c0186a6fb4a7d20a90330651e4444	我踏马来了	v2_v3	2.600822	0.010795	0.010795	-0.045165	-518.3751	no	122445860	0xc0020ff64a7ed162876224265a3147fa5028b82a2085c35a1a03e0cb856b5c30	infinity_vault	FAIL_LECH>20 host=bsc-mainnet.nodereal.io#0
0x0a43fc31a73013089df59194872ecae4cae14444	4	v2_v3	2.535789	0.012845	0.012849	-0.047791	-471.9311	no	122446825	0x73a4958a796e7ab9b603ad368fcd9d2f014266a31de3866cd7ea752dd8fd6a15	infinity_vault	FAIL_LECH>20 host=bsc-mainnet.nodereal.io#0
0x0a43fc31a73013089df59194872ecae4cae14444	4	v2_v3	2.490468	0.012371	0.012375	-0.047067	-480.3272	no	122446984	0x2799839cb99839c0f5289cdce7213024fc940036ef7ae140bb57c5e4041f8481	infinity_vault	FAIL_LECH>20 host=bsc-mainnet.nodereal.io#0
0x0a43fc31a73013089df59194872ecae4cae14444	4	v2_v3	2.517964	0.012597	0.012600	-0.049490	-492.7726	no	122447637	0xcdb08900af6f7ae32b14cacbebc414c7de197c0a01f8bc6851fb18f8a21534c4	infinity_vault	FAIL_LECH>20 host=bsc-mainnet.nodereal.io#0
0x0a43fc31a73013089df59194872ecae4cae14444	4	v2_v3	2.590105	0.013384	0.013396	-0.049418	-468.8991	no	122448652	0x493cd4d9043a4686a6dfa3588a389f14b0eeeb5205e3e6421eb0bb3ff75ab5fb	infinity_vault	FAIL_LECH>20 host=bsc-mainnet.nodereal.io#0
0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82	Cake	v3_v3	20.000000	0.319424	0.316064	-0.179687	-156.8514	no	122450112	0x7ba67696c2fcd9c49cf921c5dd52097bedf24ce4c62d0c1a0cf854d9c928cc1d	infinity_vault	FAIL_LECH>20 host=bsc-mainnet.nodereal.io#0
0x924fa68a0fc644485b8df8abfa0a41c2e7744444	币安人生	v2_v3	1.959313	0.005570	0.005570	-0.042875	-869.8128	no	122450436	0x216d32058da248d92a71f5cb58851e1424a6d14ae3e1aa1f1f0505eb3047edc6	infinity_vault	FAIL_LECH>20 host=bsc-mainnet.nodereal.io#0
