token	symbol	route	borrow_bnb	net_paper	net_quoter_now	hash
0x0a43fc31a73013089df59194872ecae4cae14444	4	v2_v3	6.852476	0.166205	-0.222823	0x8f0aaef99ccd8a0c304d8dbb23bc140fa375a5d3dc31f626b1ab1732bf0d3678
0x0a43fc31a73013089df59194872ecae4cae14444	4	v2_v3	6.808982	0.164036	-0.215954	0x1bddec51e7d59d6b1c705f381ebee84e4d8fb5b7f0baf1ab29ee34679aeaa616
0x0a43fc31a73013089df59194872ecae4cae14444	4	v2_v3	6.677909	0.157432	-0.212040	0x9d2579be564e933f2bc7d2af68a85e470fb12c525d883802c0744979feeb77d7
0x924fa68a0fc644485b8df8abfa0a41c2e7744444	币安人生	v2_v3	7.252449	0.122895	-0.275343	0x589a30f3a39cd2468b1e130f1c9e05028566a0caf5441e25a675ab246c527f51
0x0a43fc31a73013089df59194872ecae4cae14444	4	v2_v3	6.730788	0.160088	-0.213824	0xa98e590f0d7d4659564cf3677af98263aded59c1c020b9492cf48f93132d25da
0x0a43fc31a73013089df59194872ecae4cae14444	4	v2_v3	6.676148	0.157391	-0.207194	0x86a14df283e10466c75b0abc481f7a8f6865dccd2483b5107b66fdc2bd80907f
0x0a43fc31a73013089df59194872ecae4cae14444	4	v2_v3	6.676482	0.157408	-0.207729	0x4773f0037fa73c07f4a15f55c938467974e8c8710b1d4e3783a2bf2ab177ffb3
0x0a43fc31a73013089df59194872ecae4cae14444	4	v2_v3	6.598611	0.153391	-0.207422	0x0241328a2090ac6ca04df829f88f694f50322dd2a49770d3f315f9648cee7c1f
0x0a43fc31a73013089df59194872ecae4cae14444	4	v2_v3	6.998614	0.174374	-0.218782	0xa80e8f66086cb42221ecc24676c59eefcaf16bfab2c110ef285dd2a0b381b6bd
0x0a43fc31a73013089df59194872ecae4cae14444	4	v2_v3	6.999224	0.174406	-0.220992	0x3cabfa67de3c4546f6c1196db4439cf7c8139afbb9459011836a33e4aef387ca
0x0a43fc31a73013089df59194872ecae4cae14444	4	v2_v3	6.682937	0.158051	-0.214299	0x2899d8186319e33e0e54ab5c2ecd78aa47c71c0aeb2a1e967402dc1db154af3e
0x924fa68a0fc644485b8df8abfa0a41c2e7744444	币安人生	v2_v3	7.182695	0.119542	-0.274021	0x9fb5173ea74d084ce3b6393098d54b986a99d9155fea07cef3c08af19ed3c85d
0x0a43fc31a73013089df59194872ecae4cae14444	4	v2_v3	6.703122	0.159761	-0.210581	0x1df8a9f492853c0d8cc04ee17659af450a1decc44619c8eeed1fc93447768fb6
0x0a43fc31a73013089df59194872ecae4cae14444	4	v2_v3	6.703004	0.159755	-0.210713	0xd5d4bcc40a30f827ef4c69d57b880ba0c4fe48732ac92ccf5f78bf08abfcf347
0x0a43fc31a73013089df59194872ecae4cae14444	4	v2_v3	6.719237	0.160646	-0.212749	0x602ec1995f97df37be004e8d8a70544df1ddf6978bdab1602ec737bf17be7b77
0x0a43fc31a73013089df59194872ecae4cae14444	4	v2_v3	6.871647	0.168641	-0.220148	0xdf528df84ce0ef3a272e352306b579b947ba1bf8c585c63f50bd6147785c20a8
0xc51a9250795c0186a6fb4a7d20a90330651e4444	我踏马来了	v2_v3	7.754174	0.151480	-0.226743	0x1b2536467ea62d31a89f2223d2a0ff93e6766cdc1da4f92db7a8bdb4f28a7d1d
0x0a43fc31a73013089df59194872ecae4cae14444	4	v2_v3	6.911998	0.170386	-0.226107	0x08c9261c7f937093f01155f88c5e418fad09af7ca17c447798bb5ded6b297b70
