pool	quote	hour_utc	candidate	net_pos	net_pos_non_cluster	sum_net_native	sum_net_nc_native	sum_net_nc_bnb	best_native
0x3f803ec2b816ea7f06ec76aa2b6f2532f9892d62	usdt	01	10	1	1	1.619323	1.619323	0.002278	1.619323
0x6c6636eada7cc046c7a83aea0d973810234ec291	wbnb	01	1	1	1	0.025364	0.025364	0.025364	0.025364
0x76c42dda1de814ac60951c2c89c77dbecfb86ffb	wbnb	00	10	2	2	0.039122	0.039122	0.039122	0.021140
0x76c42dda1de814ac60951c2c89c77dbecfb86ffb	wbnb	02	5	1	1	0.022952	0.022952	0.022952	0.022952
0x76c42dda1de814ac60951c2c89c77dbecfb86ffb	wbnb	04	4	3	3	0.350958	0.350958	0.350958	0.118729
0x76c42dda1de814ac60951c2c89c77dbecfb86ffb	wbnb	19	7	2	2	0.026322	0.026322	0.026322	0.013232
0x76c42dda1de814ac60951c2c89c77dbecfb86ffb	wbnb	23	8	1	1	0.015270	0.015270	0.015270	0.015270
0xcec13213c390d51121f82ba2ecafb8e11e0af7a3	usdt	00	55	27	0	599.538438	0.000000	0.000000	48.047778
0xcec13213c390d51121f82ba2ecafb8e11e0af7a3	usdt	01	46	21	0	913.749443	0.000000	0.000000	75.596204
0xcec13213c390d51121f82ba2ecafb8e11e0af7a3	usdt	02	50	18	0	563.102168	0.000000	0.000000	71.654182
0xcec13213c390d51121f82ba2ecafb8e11e0af7a3	usdt	03	51	20	0	825.874608	0.000000	0.000000	66.755150
0xcec13213c390d51121f82ba2ecafb8e11e0af7a3	usdt	04	25	10	0	281.283523	0.000000	0.000000	54.382689
0xcec13213c390d51121f82ba2ecafb8e11e0af7a3	usdt	17	18	8	0	370.319589	0.000000	0.000000	91.997412
0xcec13213c390d51121f82ba2ecafb8e11e0af7a3	usdt	18	40	18	0	1033.255575	0.000000	0.000000	219.550517
0xcec13213c390d51121f82ba2ecafb8e11e0af7a3	usdt	19	66	29	0	1240.195067	0.000000	0.000000	191.771026
0xcec13213c390d51121f82ba2ecafb8e11e0af7a3	usdt	20	10	5	0	221.555414	0.000000	0.000000	112.998340
0xcec13213c390d51121f82ba2ecafb8e11e0af7a3	usdt	21	64	26	0	1277.146104	0.000000	0.000000	140.972661
0xcec13213c390d51121f82ba2ecafb8e11e0af7a3	usdt	22	60	26	0	879.199701	0.000000	0.000000	115.605565
0xcec13213c390d51121f82ba2ecafb8e11e0af7a3	usdt	23	66	28	0	1098.274414	0.000000	0.000000	127.659788
0xd69aeb830435594c7d3a9b133af96dd02e65f431	usdt	01	30	5	5	0.006925	0.006925	0.000010	0.001391
0xdfe23efbdb03ea985c2423eb916fca8cae1d02ef	usdt	00	49	24	0	1386.422494	0.000000	0.000000	103.243600
0xdfe23efbdb03ea985c2423eb916fca8cae1d02ef	usdt	01	63	24	0	1014.682002	0.000000	0.000000	93.761169
0xdfe23efbdb03ea985c2423eb916fca8cae1d02ef	usdt	02	54	23	0	1037.599932	0.000000	0.000000	75.786510
0xdfe23efbdb03ea985c2423eb916fca8cae1d02ef	usdt	03	44	20	0	887.460437	0.000000	0.000000	86.892500
0xdfe23efbdb03ea985c2423eb916fca8cae1d02ef	usdt	04	28	11	0	419.040509	0.000000	0.000000	85.792202
0xdfe23efbdb03ea985c2423eb916fca8cae1d02ef	usdt	17	17	7	0	444.096005	0.000000	0.000000	101.677443
0xdfe23efbdb03ea985c2423eb916fca8cae1d02ef	usdt	18	40	16	0	682.396302	0.000000	0.000000	136.662237
0xdfe23efbdb03ea985c2423eb916fca8cae1d02ef	usdt	19	58	29	0	1860.414643	0.000000	0.000000	203.289955
0xdfe23efbdb03ea985c2423eb916fca8cae1d02ef	usdt	20	63	28	0	1820.077583	0.000000	0.000000	173.594554
0xdfe23efbdb03ea985c2423eb916fca8cae1d02ef	usdt	21	7	4	0	106.392402	0.000000	0.000000	45.692880
0xdfe23efbdb03ea985c2423eb916fca8cae1d02ef	usdt	22	53	29	0	2189.771171	0.000000	0.000000	150.878734
0xdfe23efbdb03ea985c2423eb916fca8cae1d02ef	usdt	23	64	30	0	1743.256070	0.000000	0.000000	137.770808
