# victims.txt — dinh dang: 0xAddress,min_swap_bnb
# Dong bat dau bang # la comment, bi bo qua.
# min_swap_bnb la so BNB toi thieu (vd 0.01), code tu quy doi sang wei (10^18).
# Trung address: dong sau thang. Dong loi (sai dinh dang) bi log va bo qua,
# khong lam crash chuong trinh.
0xa6EE430F253057aA4dE8D757f6De081bDAA75E52,0.05
0x5a1Ac6DA7bfF98071d84b4fddC80Ec6e57168d40,0.05
0xe989295716502121cbBBbA4206C2743fd7f87fae,0.05
0x168df61cd53174df19124e19002f6b04a463c059,0.05
0x9834d1fdd3b499fddeaa76f424f4795bc64c0f6e,0.05
0x7f2e7792c8851207d6752fb7a70d634b203d58f7,0.05
0x1e5ad030322862b4cfb609be0580c64fe72b5c9b,0.05
0x02aa988f38e24f43f65b6069d285ca05827746a4,0.05
0xcf4dbd0e979100f0ba9e2080ad9c9cc88dd49b3c,0.05
0x474a502479c7df69993ffcd940a797eda5b42028,0.05
0x4f8097fd9a269d7b99ea691ae0cebdcfdcd71b26,0.05
0x17d55c4123ae4250e9097eed4bfc2b9dfe839147,0.05
0x6283316602f07a0c17f4b933826265dd503c12a6,0.05
0x53628aa54ed3784b312e3a01fcbd7e7164832397,0.05
0xb112c44c58491a6bdb59e34c0dc06a98fe6aed58,0.05
0xf847cfac029d8bbff3df537864d17a2a9a640436,0.05
0x01fe13e3539af16969f48f82b6d5347426df0bf8,0.05
0xb0a9cca35e47d69fd92ae4d031a4fbc3b472a7b6,0.05
0x6dc4dcd2967cda120c86e8118cbcf9b7e61c8cbe,0.05
0xaee6522e98f77847ec3534cfdb18894f45ac5fe1,0.05
0xc8ce732a183bb373f965666922e4b644b0975442,0.05
0xb4c3277ccad9a74ae7fbcb1688367c2ef73b2786,0.05
0x31db4e1b106018f8a2bc9ee844cd38a2d019246a,0.05
0x363f4ea63faf68c5b40b0dc8af1b09671cf97840,0.05
0xe41e08b5e927628e3fe9d0628cb5be449e7850de,0.05
0xece45584bca4214180c9e4b2a97a35de3e5757e0,0.05
0x96bb0f0feb17f0b53bcd2956221e080c2f7c2a2d,0.05
0x02b1e2262bf8c173e0896027ec08496c52ca8aa7,0.05
0xc4e1e81f08ea3ac1a586f9637166aac02562eaf9,0.05
0xac3d294b603b37fb73cb378833acf21aa8e6056d,0.05
0x1f6fa64941d75e7e77684322b41d7c8cd46ce963,0.05
0x65f5703174c4da83476ca3c8cc83808ca2af6860,0.05
0xa6ee430f253057aa4de8d757f6de081bdaa75e52,0.05
0x321fce459ad07cefc9567e0b9f1bac593a327f4e,0.05
0x722b3a51bddf5e7988627da87616df50886bbfd8,0.05
0x0f247c0beabe968e5d73536d7713af9279491a06,0.05
0x8133c1270b7e7430aaee28a6b199e925e5845e2b,0.05
0xb6766aaceb62ba40b77f7c3a950a1cb79f224480,0.05
0x165d83d10ab2e67d5f49f95a1001ce32d8899fff,0.05
0xbef4cf6b752aef0589d39e0a14012d9bb08c35ef,0.05
